id;name;geoid;geoname;demand (MWh);datetime
1193;Demanda en consumo;;;21.919.561;2024-09-01T00:00:00+02:00
1193;Demanda en consumo;;;20.683.093;2024-09-01T01:00:00+02:00
1193;Demanda en consumo;;;19.864.012;2024-09-01T02:00:00+02:00
1193;Demanda en consumo;;;19.326.345;2024-09-01T03:00:00+02:00
1193;Demanda en consumo;;;19.003.285;2024-09-01T04:00:00+02:00
1193;Demanda en consumo;;;18.798.364;2024-09-01T05:00:00+02:00
1193;Demanda en consumo;;;19.055.217;2024-09-01T06:00:00+02:00
1193;Demanda en consumo;;;19.212.309;2024-09-01T07:00:00+02:00
1193;Demanda en consumo;;;19.440.639;2024-09-01T08:00:00+02:00
1193;Demanda en consumo;;;20.410.946;2024-09-01T09:00:00+02:00
1193;Demanda en consumo;;;21.403.825;2024-09-01T10:00:00+02:00
1193;Demanda en consumo;;;21.946.432;2024-09-01T11:00:00+02:00
1193;Demanda en consumo;;;22.377.311;2024-09-01T12:00:00+02:00
1193;Demanda en consumo;;;23.070.848;2024-09-01T13:00:00+02:00
1193;Demanda en consumo;;;23.468.284;2024-09-01T14:00:00+02:00
1193;Demanda en consumo;;;22.997.098;2024-09-01T15:00:00+02:00
1193;Demanda en consumo;;;22.810.955;2024-09-01T16:00:00+02:00
1193;Demanda en consumo;;;22.992.442;2024-09-01T17:00:00+02:00
1193;Demanda en consumo;;;23.656.906;2024-09-01T18:00:00+02:00
1193;Demanda en consumo;;;24098.75;2024-09-01T19:00:00+02:00
1193;Demanda en consumo;;;24.800.314;2024-09-01T20:00:00+02:00
1193;Demanda en consumo;;;26.120.836;2024-09-01T21:00:00+02:00
1193;Demanda en consumo;;;25.191.122;2024-09-01T22:00:00+02:00
1193;Demanda en consumo;;;23.536.894;2024-09-01T23:00:00+02:00
1193;Demanda en consumo;;;22.122.589;2024-09-02T00:00:00+02:00
1193;Demanda en consumo;;;20.969.483;2024-09-02T01:00:00+02:00
1193;Demanda en consumo;;;20103.13;2024-09-02T02:00:00+02:00
1193;Demanda en consumo;;;19.737.862;2024-09-02T03:00:00+02:00
1193;Demanda en consumo;;;19.617.121;2024-09-02T04:00:00+02:00
1193;Demanda en consumo;;;20.167.886;2024-09-02T05:00:00+02:00
1193;Demanda en consumo;;;22.491.708;2024-09-02T06:00:00+02:00
1193;Demanda en consumo;;;25.159.782;2024-09-02T07:00:00+02:00
1193;Demanda en consumo;;;26.692.792;2024-09-02T08:00:00+02:00
1193;Demanda en consumo;;;27.714.075;2024-09-02T09:00:00+02:00
1193;Demanda en consumo;;;28.355.548;2024-09-02T10:00:00+02:00
1193;Demanda en consumo;;;28.626.521;2024-09-02T11:00:00+02:00
1193;Demanda en consumo;;;29.040.811;2024-09-02T12:00:00+02:00
1193;Demanda en consumo;;;29684.63;2024-09-02T13:00:00+02:00
1193;Demanda en consumo;;;29.594.318;2024-09-02T14:00:00+02:00
1193;Demanda en consumo;;;29.089.377;2024-09-02T15:00:00+02:00
1193;Demanda en consumo;;;29.048.883;2024-09-02T16:00:00+02:00
1193;Demanda en consumo;;;29.406.486;2024-09-02T17:00:00+02:00
1193;Demanda en consumo;;;29.282.303;2024-09-02T18:00:00+02:00
1193;Demanda en consumo;;;29.086.274;2024-09-02T19:00:00+02:00
1193;Demanda en consumo;;;29.495.683;2024-09-02T20:00:00+02:00
1193;Demanda en consumo;;;29.818.728;2024-09-02T21:00:00+02:00
1193;Demanda en consumo;;;27287.91;2024-09-02T22:00:00+02:00
1193;Demanda en consumo;;;25.277.911;2024-09-02T23:00:00+02:00
1193;Demanda en consumo;;;23.850.911;2024-09-03T00:00:00+02:00
1193;Demanda en consumo;;;22.634.594;2024-09-03T01:00:00+02:00
1193;Demanda en consumo;;;21.686.877;2024-09-03T02:00:00+02:00
1193;Demanda en consumo;;;21.197.708;2024-09-03T03:00:00+02:00
1193;Demanda en consumo;;;20989.57;2024-09-03T04:00:00+02:00
1193;Demanda en consumo;;;21.356.841;2024-09-03T05:00:00+02:00
1193;Demanda en consumo;;;23.455.974;2024-09-03T06:00:00+02:00
1193;Demanda en consumo;;;25.833.749;2024-09-03T07:00:00+02:00
1193;Demanda en consumo;;;27.069.839;2024-09-03T08:00:00+02:00
1193;Demanda en consumo;;;28.322.465;2024-09-03T09:00:00+02:00
1193;Demanda en consumo;;;28.889.782;2024-09-03T10:00:00+02:00
1193;Demanda en consumo;;;29.252.245;2024-09-03T11:00:00+02:00
1193;Demanda en consumo;;;29.512.224;2024-09-03T12:00:00+02:00
1193;Demanda en consumo;;;29721.13;2024-09-03T13:00:00+02:00
1193;Demanda en consumo;;;29.123.854;2024-09-03T14:00:00+02:00
1193;Demanda en consumo;;;28.353.522;2024-09-03T15:00:00+02:00
1193;Demanda en consumo;;;27.997.154;2024-09-03T16:00:00+02:00
1193;Demanda en consumo;;;28.043.944;2024-09-03T17:00:00+02:00
1193;Demanda en consumo;;;28.110.942;2024-09-03T18:00:00+02:00
1193;Demanda en consumo;;;28.180.952;2024-09-03T19:00:00+02:00
1193;Demanda en consumo;;;28.775.877;2024-09-03T20:00:00+02:00
1193;Demanda en consumo;;;29.042.982;2024-09-03T21:00:00+02:00
1193;Demanda en consumo;;;26.538.206;2024-09-03T22:00:00+02:00
1193;Demanda en consumo;;;24.486.226;2024-09-03T23:00:00+02:00
1193;Demanda en consumo;;;23.191.754;2024-09-04T00:00:00+02:00
1193;Demanda en consumo;;;21.936.541;2024-09-04T01:00:00+02:00
1193;Demanda en consumo;;;21.182.311;2024-09-04T02:00:00+02:00
1193;Demanda en consumo;;;20.786.545;2024-09-04T03:00:00+02:00
1193;Demanda en consumo;;;20.652.796;2024-09-04T04:00:00+02:00
1193;Demanda en consumo;;;20.929.918;2024-09-04T05:00:00+02:00
1193;Demanda en consumo;;;23.131.094;2024-09-04T06:00:00+02:00
1193;Demanda en consumo;;;25.561.937;2024-09-04T07:00:00+02:00
1193;Demanda en consumo;;;26.610.602;2024-09-04T08:00:00+02:00
1193;Demanda en consumo;;;27.707.507;2024-09-04T09:00:00+02:00
1193;Demanda en consumo;;;28.012.598;2024-09-04T10:00:00+02:00
1193;Demanda en consumo;;;28.119.102;2024-09-04T11:00:00+02:00
1193;Demanda en consumo;;;28282.09;2024-09-04T12:00:00+02:00
1193;Demanda en consumo;;;28.570.234;2024-09-04T13:00:00+02:00
1193;Demanda en consumo;;;27.943.119;2024-09-04T14:00:00+02:00
1193;Demanda en consumo;;;26.874.357;2024-09-04T15:00:00+02:00
1193;Demanda en consumo;;;26.673.249;2024-09-04T16:00:00+02:00
1193;Demanda en consumo;;;26.834.213;2024-09-04T17:00:00+02:00
1193;Demanda en consumo;;;27.077.769;2024-09-04T18:00:00+02:00
1193;Demanda en consumo;;;27.388.986;2024-09-04T19:00:00+02:00
1193;Demanda en consumo;;;28.046.894;2024-09-04T20:00:00+02:00
1193;Demanda en consumo;;;28.330.343;2024-09-04T21:00:00+02:00
1193;Demanda en consumo;;;25.878.535;2024-09-04T22:00:00+02:00
1193;Demanda en consumo;;;23.939.236;2024-09-04T23:00:00+02:00
1193;Demanda en consumo;;;22.617.967;2024-09-05T00:00:00+02:00
1193;Demanda en consumo;;;21.407.989;2024-09-05T01:00:00+02:00
